transaction_ref,sale_date,dealer_code,partner_code,product_type,product_code,imei,total_amount_ngn,payment_method,consumer_msisdn,source_system
DMS_FBB_D00001_202410_0000,2024-10-08T14:11:58+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,218196001338908,25000,MOMO,+2348036687537,DEALER_MGMT_X
DMS_FBB_D00001_202410_0001,2024-10-19T06:24:48+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0002,2024-10-22T15:24:55+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,542351161559407,50000,MOMO,+2348081971316,DEALER_MGMT_X
DMS_FBB_D00001_202410_0003,2024-10-03T10:37:38+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,495931034131647,75000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0004,2024-10-07T11:52:23+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,419283276483503,45000,MOMO,+2348014308421,DEALER_MGMT_X
DMS_FBB_D00001_202410_0005,2024-10-07T12:58:16+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,953767242388496,45000,MOMO,+2348088320463,DEALER_MGMT_X
DMS_FBB_D00001_202410_0006,2024-10-16T19:05:14+00:00,FBB_D00001,PARTNER_A,BUNDLE,DATA_50GB,,8500,MOMO,+2348022201654,DEALER_MGMT_X
DMS_FBB_D00001_202410_0007,2024-10-20T10:49:10+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,691669784801845,75000,MOMO,+2348024972279,DEALER_MGMT_X
DMS_FBB_D00001_202410_0008,2024-10-01T02:24:52+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,482814893252880,45000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0009,2024-10-04T11:13:46+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348058718453,DEALER_MGMT_X
DMS_FBB_D00001_202410_0010,2024-10-28T05:14:20+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,ROUTER_HOME,117182278248963,45000,MOMO,+2348082383095,DEALER_MGMT_X
DMS_FBB_D00001_202410_0011,2024-10-31T20:23:27+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,578713315098393,130000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0012,2024-10-08T02:19:57+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,051834738299737,25000,MOMO,+2348064634663,DEALER_MGMT_X
DMS_FBB_D00001_202410_0013,2024-10-11T23:35:50+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,670106513338726,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0014,2024-10-28T02:37:02+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,178108013267736,65000,MOMO,+2348017869910,DEALER_MGMT_X
DMS_FBB_D00001_202410_0015,2024-10-09T05:18:39+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,746872343098050,65000,CASH,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0016,2024-10-29T12:01:25+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,820812191361939,25000,CARD,,DEALER_MGMT_X
DMS_FBB_D00001_202410_0017,2024-10-13T23:54:11+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348088339168,DEALER_MGMT_X
DMS_FBB_D00001_202410_0018,2024-10-07T07:58:07+00:00,FBB_D00001,PARTNER_A,AIRTIME,TOPUP_1000,,1000,MOMO,+2348052169044,DEALER_MGMT_X
DMS_FBB_D00001_202410_0019,2024-10-21T19:44:14+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_5G_PRO,475107991183842,65000,MOMO,+2348056843172,DEALER_MGMT_X
DMS_FBB_D00001_202410_0020,2024-10-09T20:01:49+00:00,FBB_D00001,PARTNER_A,FBB_DEVICE,MIFI_4G_BASIC,784980841241182,75000,MOMO,+2348046553958,DEALER_MGMT_X
